TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1901,1,16,1901/1/17,1901/1/17,TRUE,2022/5/8 22:05:40,RQD、fuyang
2,1901,2,28,1901/3/1,1901/3/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
3,1901,3,31,1901/4/1,1901/4/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
4,1901,12,31,1902/1/1,1902/1/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
5,1904,1,16,1904/1/17,1904/1/17,TRUE,2022/5/8 22:05:40,RQD、fuyang
6,1904,2,28,1904/2/29,1904/2/29,TRUE,2022/5/8 22:05:40,RQD、fuyang
7,1904,3,31,1904/4/1,1904/4/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
8,1904,12,31,1905/1/1,1905/1/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
9,2000,1,16,2000/1/17,2000/1/17,TRUE,2022/5/8 22:05:40,RQD、fuyang
10,2000,2,28,2000/2/29,2000/2/29,TRUE,2022/5/8 22:05:40,RQD、fuyang
11,2000,3,31,2000/4/1,2000/4/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
12,2000,12,31,2001/1/1,2001/1/1,TRUE,2022/5/8 22:05:40,RQD、fuyang
