TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1899,5,16,年份数值越界,年份数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
2,1900,5,16,1900/5/17,1900/5/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
3,1901,5,16,1901/5/17,1901/5/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
4,2101,5,16,年份数值越界,年份数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
5,2100,5,16,2100/5/17,2100/5/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
6,2099,5,16,2099/5/17,2099/5/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
7,2000,0,16,月份数值越界,月份数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
8,2000,1,16,2000/1/17,2000/1/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
9,2000,2,16,2000/2/17,2000/2/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
10,2000,13,16,月份数值越界,月份数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
11,2000,12,16,2000/12/17,2000/12/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
12,2000,11,16,2000/11/17,2000/11/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
13,2000,5,0,日期数值越界,日期数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
14,2000,5,1,2000/5/2,2000/5/2,TRUE,2022/3/31 21:44:19,RQD、fuyang
15,2000,5,2,2000/5/3,2000/5/3,TRUE,2022/3/31 21:44:19,RQD、fuyang
16,2000,5,32,日期数值越界,日期数值越界,TRUE,2022/3/31 21:44:19,RQD、fuyang
17,2000,5,31,2000/6/1,2000/6/1,TRUE,2022/3/31 21:44:19,RQD、fuyang
18,2000,5,30,2000/5/31,2000/5/31,TRUE,2022/3/31 21:44:19,RQD、fuyang
19,2000,5,16,2000/5/17,2000/5/17,TRUE,2022/3/31 21:44:19,RQD、fuyang
