TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1899,5,16,年份数值越界,,,,
2,1900,5,16,1900/5/17,,,,
3,1901,5,16,1901/5/17,,,,
4,2101,5,16,年份数值越界,,,,
5,2100,5,16,2100/5/17,,,,
6,2099,5,16,2099/5/17,,,,
7,2000,0,16,月份数值越界,,,,
8,2000,1,16,2000/1/17,,,,
9,2000,2,16,2000/2/17,,,,
10,2000,13,16,月份数值越界,,,,
11,2000,12,16,2000/12/17,,,,
12,2000,11,16,2000/11/17,,,,
13,2000,5,0,日期数值越界,,,,
14,2000,5,1,2000/5/2,,,,
15,2000,5,2,2000/5/3,,,,
16,2000,5,32,日期数值越界,,,,
17,2000,5,31,2000/6/1,,,,
18,2000,5,30,2000/5/31,,,,
19,2000,5,16,2000/5/17,,,,
