TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1900,2,16,1900/2/17,1900/2/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
2,2000,2,28,2000/2/29,2000/2/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
3,2004,2,29,2004/3/1,2004/3/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
4,2008,2,30,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
5,2012,2,31,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
6,2016,1,16,2016/1/17,2016/1/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
7,2020,3,28,2020/3/29,2020/3/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
8,2024,5,29,2024/5/30,2024/5/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
9,2028,7,30,2028/7/31,2028/7/31,TRUE,2022/4/2 18:37:39,RQD、fuyang
10,2032,8,31,2032/9/1,2032/9/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
11,2036,4,16,2036/4/17,2036/4/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
12,2040,6,28,2040/6/29,2040/6/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
13,2044,9,29,2044/9/30,2044/9/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
14,2048,11,30,2048/12/1,2048/12/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
15,2052,11,31,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
16,2056,12,16,2056/12/17,2056/12/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
17,2060,12,28,2060/12/29,2060/12/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
18,2064,12,29,2064/12/30,2064/12/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
19,2068,12,30,2068/12/31,2068/12/31,TRUE,2022/4/2 18:37:39,RQD、fuyang
20,2072,12,31,2073/1/1,2073/1/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
21,2001,2,16,2001/2/17,2001/2/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
22,2002,2,28,2002/3/1,2002/3/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
23,2003,2,29,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
24,2005,2,30,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
25,2006,2,31,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
26,2007,1,16,2007/1/17,2007/1/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
27,2009,3,28,2009/3/29,2009/3/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
28,2010,5,29,2010/5/30,2010/5/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
29,2011,7,30,2011/7/31,2011/7/31,TRUE,2022/4/2 18:37:39,RQD、fuyang
30,2013,8,31,2013/9/1,2013/9/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
31,2014,4,16,2014/4/17,2014/4/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
32,2015,6,28,2015/6/29,2015/6/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
33,2017,9,29,2017/9/30,2017/9/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
34,2018,11,30,2018/12/1,2018/12/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
35,2019,11,31,日期数值越界,日期数值越界,TRUE,2022/4/2 18:37:39,RQD、fuyang
36,2021,12,16,2021/12/17,2021/12/17,TRUE,2022/4/2 18:37:39,RQD、fuyang
37,2022,12,28,2022/12/29,2022/12/29,TRUE,2022/4/2 18:37:39,RQD、fuyang
38,2023,12,29,2023/12/30,2023/12/30,TRUE,2022/4/2 18:37:39,RQD、fuyang
39,2025,12,30,2025/12/31,2025/12/31,TRUE,2022/4/2 18:37:39,RQD、fuyang
40,2026,12,31,2027/1/1,2027/1/1,TRUE,2022/4/2 18:37:39,RQD、fuyang
