TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,1900,2,28,1900/3/1,,,,
2,2000,2,16,2000/2/17,,,,
3,2004,2,29,2004/3/1,,,,
4,2008,2,30,日期数值越界,,,,
5,2012,2,31,日期数值越界,,,,
6,2016,1,16,2016/1/17,,,,
7,2020,3,28,2020/3/29,,,,
8,2024,5,29,2024/5/30,,,,
9,2028,7,30,2028/7/31,,,,
10,2032,8,31,2032/9/1,,,,
11,2036,4,16,2036/4/17,,,,
12,2040,6,28,2040/6/29,,,,
13,2044,9,29,2044/9/30,,,,
14,2048,11,30,2048/12/1,,,,
15,2052,11,31,日期数值越界,,,,
16,2056,12,16,2056/12/17,,,,
17,2060,12,28,2060/12/29,,,,
18,2064,12,29,2064/12/30,,,,
19,2068,12,30,2068/12/31,,,,
20,2072,12,31,2073/1/1,,,,
21,2001,2,16,2001/2/17,,,,
22,2002,2,28,2002/3/1,,,,
23,2003,2,29,日期数值越界,,,,
24,2005,2,30,日期数值越界,,,,
25,2006,2,31,日期数值越界,,,,
26,2007,1,16,2007/1/17,,,,
27,2009,3,28,2009/3/29,,,,
28,2010,5,29,2010/5/30,,,,
29,2011,7,30,2011/7/31,,,,
30,2013,8,31,2013/9/1,,,,
31,2014,4,16,2014/4/17,,,,
32,2015,6,28,2015/6/29,,,,
33,2017,9,29,2017/9/30,,,,
34,2018,11,30,2018/12/1,,,,
35,2019,11,31,日期数值越界,,,,
36,2021,12,16,2021/12/17,,,,
37,2022,12,28,2022/12/29,,,,
38,2023,12,29,2023/12/30,,,,
39,2025,12,30,2025/12/31,,,,
40,2026,12,31,2027/1/1,,,,
41,1899,0,0,年份数值越界,,,,
42,1898,0,16,年份数值越界,,,,
43,1897,0,28,年份数值越界,,,,
44,1896,0,29,年份数值越界,,,,
45,1895,0,30,年份数值越界,,,,
46,1894,0,31,年份数值越界,,,,
47,1893,0,32,年份数值越界,,,,
48,1892,2,0,年份数值越界,,,,
49,1891,2,16,年份数值越界,,,,
50,1890,2,28,年份数值越界,,,,
51,1889,2,29,年份数值越界,,,,
52,1888,2,30,年份数值越界,,,,
53,1887,2,31,年份数值越界,,,,
54,1886,2,32,年份数值越界,,,,
55,1885,1,0,年份数值越界,,,,
56,1884,1,16,年份数值越界,,,,
57,1883,3,28,年份数值越界,,,,
58,1882,5,29,年份数值越界,,,,
59,1881,7,30,年份数值越界,,,,
60,1880,8,31,年份数值越界,,,,
61,1879,8,32,年份数值越界,,,,
62,1878,4,0,年份数值越界,,,,
63,1877,4,16,年份数值越界,,,,
64,1876,6,28,年份数值越界,,,,
65,1875,9,29,年份数值越界,,,,
66,1874,11,30,年份数值越界,,,,
67,1873,11,31,年份数值越界,,,,
68,1872,11,32,年份数值越界,,,,
69,1871,12,0,年份数值越界,,,,
70,1870,12,16,年份数值越界,,,,
71,1869,12,28,年份数值越界,,,,
72,1868,12,29,年份数值越界,,,,
73,1867,12,30,年份数值越界,,,,
74,1866,12,31,年份数值越界,,,,
75,1865,12,32,年份数值越界,,,,
76,1864,13,0,年份数值越界,,,,
77,1863,13,16,年份数值越界,,,,
78,1862,13,28,年份数值越界,,,,
79,1861,13,29,年份数值越界,,,,
80,1860,13,30,年份数值越界,,,,
81,1859,13,31,年份数值越界,,,,
