TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,2001,1,16,2001/1/17,2001/1/17,TRUE,2022/5/13 20:38:18,RQD、fuyang
2,2000,2,28,2000/2/29,2000/2/29,TRUE,2022/5/13 20:38:18,RQD、fuyang
3,2002,3,29,2002/3/30,2002/3/30,TRUE,2022/5/13 20:38:18,RQD、fuyang
4,2003,9,30,2003/10/1,2003/10/1,TRUE,2022/5/13 20:38:18,RQD、fuyang
5,2004,12,31,2005/1/1,2005/1/1,TRUE,2022/5/13 20:38:18,RQD、fuyang
6,1899,2,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
7,1898,2,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
8,1897,2,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
9,1896,2,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
10,1895,2,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
11,1894,1,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
12,1893,3,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
13,1892,5,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
14,1891,7,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
15,1890,8,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
16,1889,4,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
17,1888,6,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
18,1887,9,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
19,1886,11,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
20,1885,11,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
21,1884,12,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
22,1883,12,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
23,1882,12,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
24,1881,12,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
25,1880,12,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
26,2101,2,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
27,2102,2,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
28,2103,2,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
29,2104,2,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
30,2105,2,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
31,2106,1,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
32,2107,3,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
33,2108,5,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
34,2109,7,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
35,2110,8,31,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
36,2111,4,16,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
37,2112,6,28,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
38,2113,9,29,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
39,2114,11,30,年份数值越界,年份数值越界,TRUE,2022/5/13 20:38:18,RQD、fuyang
