TestCaseID,Year,Month,Day,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,2001,1,16,2001/1/17,,,,
2,2000,2,28,2000/2/29,,,,
3,2002,3,29,2002/3/30,,,,
4,2003,9,30,2003/10/1,,,,
5,2004,12,31,2005/1/1,,,,
6,1899,2,16,年份数值越界,,,,
7,1898,2,28,年份数值越界,,,,
8,1897,2,29,年份数值越界,,,,
9,1896,2,30,年份数值越界,,,,
10,1895,2,31,年份数值越界,,,,
11,1894,1,16,年份数值越界,,,,
12,1893,3,28,年份数值越界,,,,
13,1892,5,29,年份数值越界,,,,
14,1891,7,30,年份数值越界,,,,
15,1890,8,31,年份数值越界,,,,
16,1889,4,16,年份数值越界,,,,
17,1888,6,28,年份数值越界,,,,
18,1887,9,29,年份数值越界,,,,
19,1886,11,30,年份数值越界,,,,
20,1885,11,31,年份数值越界,,,,
21,1884,12,16,年份数值越界,,,,
22,1883,12,28,年份数值越界,,,,
23,1882,12,29,年份数值越界,,,,
24,1881,12,30,年份数值越界,,,,
25,1880,12,31,年份数值越界,,,,
26,2101,2,16,年份数值越界,,,,
27,2102,2,28,年份数值越界,,,,
28,2103,2,29,年份数值越界,,,,
29,2104,2,30,年份数值越界,,,,
30,2105,2,31,年份数值越界,,,,
31,2106,1,16,年份数值越界,,,,
32,2107,3,28,年份数值越界,,,,
33,2108,5,29,年份数值越界,,,,
34,2109,7,30,年份数值越界,,,,
35,2110,8,31,年份数值越界,,,,
36,2111,4,16,年份数值越界,,,,
37,2112,6,28,年份数值越界,,,,
38,2113,9,29,年份数值越界,,,,
39,2114,11,30,年份数值越界,,,,
40,2115,11,31,年份数值越界,,,,
41,2116,12,16,年份数值越界,,,,
42,2117,12,28,年份数值越界,,,,
43,2118,12,29,年份数值越界,,,,
44,2119,12,30,年份数值越界,,,,
45,2120,12,31,年份数值越界,,,,
46,2000,0,16,月份数值越界,,,,
47,2000,0,28,月份数值越界,,,,
48,2000,0,29,月份数值越界,,,,
49,2000,0,30,月份数值越界,,,,
50,2000,0,31,月份数值越界,,,,
51,2001,0,16,月份数值越界,,,,
52,2001,0,28,月份数值越界,,,,
53,2001,0,29,月份数值越界,,,,
54,2001,0,30,月份数值越界,,,,
55,2001,0,31,月份数值越界,,,,
56,2000,13,16,月份数值越界,,,,
57,2000,13,28,月份数值越界,,,,
58,2000,13,29,月份数值越界,,,,
59,2000,13,30,月份数值越界,,,,
60,2000,13,31,月份数值越界,,,,
61,2001,13,16,月份数值越界,,,,
62,2001,13,28,月份数值越界,,,,
63,2001,13,29,月份数值越界,,,,
64,2001,13,30,月份数值越界,,,,
65,2001,13,31,月份数值越界,,,,
66,2000,2,0,日期数值越界,,,,
67,2000,1,0,日期数值越界,,,,
68,2000,4,0,日期数值越界,,,,
69,2000,12,0,日期数值越界,,,,
70,2001,2,0,日期数值越界,,,,
71,2001,1,0,日期数值越界,,,,
72,2001,4,0,日期数值越界,,,,
73,2001,12,0,日期数值越界,,,,
74,2000,2,32,日期数值越界,,,,
75,2000,1,32,日期数值越界,,,,
76,2000,4,32,日期数值越界,,,,
77,2000,12,32,日期数值越界,,,,
78,2001,2,32,日期数值越界,,,,
79,2001,1,32,日期数值越界,,,,
80,2001,4,32,日期数值越界,,,,
81,2001,12,32,日期数值越界,,,,
