TestCaseID,Host,Monitor,Peripheral,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,0,10,10,数据非法，各部件销售数量不能小于1,,,,
2,1,10,10,77.5,,,,
3,2,10,10,80,,,,
4,34,10,10,240,,,,
5,35,10,10,243.75,,,,
6,71,10,10,数据非法，主机销售数量不能超过70,,,,
7,10,0,10,数据非法，各部件销售数量不能小于1,,,,
8,10,1,10,73,,,,
9,10,2,10,76,,,,
10,10,39,10,374,,,,
11,10,40,10,380,,,,
12,10,81,45,数据非法，显示器销售数量不能超过80,,,,
13,10,10,0,数据非法，各部件销售数量不能小于1,,,,
14,10,10,1,59.5,,,,
15,10,10,2,64,,,,
16,10,10,45,515,,,,
17,10,10,46,524,,,,
18,10,10,91,数据非法，外设销售数量不能超过90,,,,
19,10,10,10,100,,,,
20,-1,10,10,系统开始统计月度销售额,,,,
