TestCaseID,Host,Monitor,Peripheral,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,0,10,10,数据非法，各部件销售数量不能小于1,数据非法，各部件销售数量不能小于1,TRUE,2022/3/22 11:29:35,RQD、fuyang
2,1,10,10,77.5,77.5,TRUE,2022/3/22 11:29:35,RQD、fuyang
3,2,10,10,80,80,TRUE,2022/3/22 11:29:35,RQD、fuyang
4,34,10,10,240,240,TRUE,2022/3/22 11:29:35,RQD、fuyang
5,35,10,10,243.75,243.75,TRUE,2022/3/22 11:29:35,RQD、fuyang
6,71,10,10,数据非法，主机销售数量不能超过70,数据非法，主机销售数量不能超过70,TRUE,2022/3/22 11:29:35,RQD、fuyang
7,10,0,10,数据非法，各部件销售数量不能小于1,数据非法，各部件销售数量不能小于1,TRUE,2022/3/22 11:29:35,RQD、fuyang
8,10,1,10,73,73,TRUE,2022/3/22 11:29:35,RQD、fuyang
9,10,2,10,76,76,TRUE,2022/3/22 11:29:35,RQD、fuyang
10,10,39,10,374,374,TRUE,2022/3/22 11:29:35,RQD、fuyang
11,10,40,10,380,380,TRUE,2022/3/22 11:29:35,RQD、fuyang
12,10,81,45,数据非法，显示器销售数量不能超过80,数据非法，显示器销售数量不能超过80,TRUE,2022/3/22 11:29:35,RQD、fuyang
13,10,10,0,数据非法，各部件销售数量不能小于1,数据非法，各部件销售数量不能小于1,TRUE,2022/3/22 11:29:35,RQD、fuyang
14,10,10,1,59.5,59.5,TRUE,2022/3/22 11:29:35,RQD、fuyang
15,10,10,2,64,64,TRUE,2022/3/22 11:29:35,RQD、fuyang
16,10,10,45,515,515,TRUE,2022/3/22 11:29:35,RQD、fuyang
17,10,10,46,524,524,TRUE,2022/3/22 11:29:35,RQD、fuyang
18,10,10,91,数据非法，外设销售数量不能超过90,数据非法，外设销售数量不能超过90,TRUE,2022/3/22 11:29:35,RQD、fuyang
19,10,10,10,100,100,TRUE,2022/3/22 11:29:35,RQD、fuyang
20,-1,10,10,系统开始统计月度销售额,系统开始统计月度销售额,TRUE,2022/3/22 11:29:35,RQD、fuyang
