TestCaseID,CallingTime,Count,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,-1,-1,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
2,30,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
3,90,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
4,150,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
5,240,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
6,360,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
7,44660,-1,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
8,-1,1,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
9,30,1,29.46,29.46,TRUE,2022/5/12 21:49:12,RQD、fuyang
10,90,1,38.3,38.3,TRUE,2022/5/12 21:49:12,RQD、fuyang
11,150,1,47.05,47.05,TRUE,2022/5/12 21:49:12,RQD、fuyang
12,240,1,60.1,60.1,TRUE,2022/5/12 21:49:12,RQD、fuyang
13,360,1,77.38,77.38,TRUE,2022/5/12 21:49:12,RQD、fuyang
14,44660,1,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
15,-1,2,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
16,30,2,29.5,29.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
17,90,2,38.3,38.3,TRUE,2022/5/12 21:49:12,RQD、fuyang
18,150,2,47.05,47.05,TRUE,2022/5/12 21:49:12,RQD、fuyang
19,240,2,60.1,60.1,TRUE,2022/5/12 21:49:12,RQD、fuyang
20,360,2,77.38,77.38,TRUE,2022/5/12 21:49:12,RQD、fuyang
21,44660,2,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
22,-1,3,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
23,30,3,29.5,29.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
24,90,3,38.5,38.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
25,150,3,47.05,47.05,TRUE,2022/5/12 21:49:12,RQD、fuyang
26,240,3,60.1,60.1,TRUE,2022/5/12 21:49:12,RQD、fuyang
27,360,3,77.38,77.38,TRUE,2022/5/12 21:49:12,RQD、fuyang
28,44660,3,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
29,-1,6,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
30,30,6,29.5,29.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
31,90,6,38.5,38.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
32,150,6,47.5,47.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
33,240,6,61,61,TRUE,2022/5/12 21:49:12,RQD、fuyang
34,360,6,77.38,77.38,TRUE,2022/5/12 21:49:12,RQD、fuyang
35,44660,6,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
36,-1,11,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
37,30,11,29.5,29.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
38,90,11,38.5,38.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
39,150,11,47.5,47.5,TRUE,2022/5/12 21:49:12,RQD、fuyang
40,240,11,61,61,TRUE,2022/5/12 21:49:12,RQD、fuyang
41,360,11,79,79,TRUE,2022/5/12 21:49:12,RQD、fuyang
42,44660,11,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
43,-1,12,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
44,30,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
45,90,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
46,150,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
47,240,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
48,360,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
49,44660,12,通话时长数值越界,通话时长数值越界,TRUE,2022/5/12 21:49:12,RQD、fuyang
