TestCaseID,CallingTime,Count,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,30,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
2,90,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
3,150,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
4,240,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
5,360,-1,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
6,-1,1,通话时长数值越界,通话时长数值越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
7,30,1,29.46,29.46,TRUE,2022/5/8 18:55:08,RQD、fuyang
8,90,2,38.3,38.3,TRUE,2022/5/8 18:55:08,RQD、fuyang
9,150,3,47.05,47.05,TRUE,2022/5/8 18:55:08,RQD、fuyang
10,240,3,60.1,60.1,TRUE,2022/5/8 18:55:08,RQD、fuyang
11,360,6,77.38,77.38,TRUE,2022/5/8 18:55:08,RQD、fuyang
12,44660,6,通话时长数值越界,通话时长数值越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
13,-1,3,通话时长数值越界,通话时长数值越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
14,30,3,29.5,29.5,TRUE,2022/5/8 18:55:08,RQD、fuyang
15,90,3,38.5,38.5,TRUE,2022/5/8 18:55:08,RQD、fuyang
16,150,6,47.5,47.5,TRUE,2022/5/8 18:55:08,RQD、fuyang
17,240,6,61,61,TRUE,2022/5/8 18:55:08,RQD、fuyang
18,360,11,79,79,TRUE,2022/5/8 18:55:08,RQD、fuyang
19,44660,11,通话时长数值越界,通话时长数值越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
20,30,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
21,90,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
22,150,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
23,240,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
24,360,12,未按时缴费次数越界,未按时缴费次数越界,TRUE,2022/5/8 18:55:08,RQD、fuyang
