TestCaseID,CallingTime,Count,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,30,-1,未按时缴费次数越界,,,,
2,90,-1,未按时缴费次数越界,,,,
3,150,-1,未按时缴费次数越界,,,,
4,240,-1,未按时缴费次数越界,,,,
5,360,-1,未按时缴费次数越界,,,,
6,-1,1,通话时长数值越界,,,,
7,30,1,29.46,,,,
8,90,1,38.3,,,,
9,150,1,47.05,,,,
10,240,1,60.1,,,,
11,360,1,77.38,,,,
12,44660,1,通话时长数值越界,,,,
13,-1,2,通话时长数值越界,,,,
14,30,2,29.5,,,,
15,90,2,38.3,,,,
16,150,2,47.05,,,,
17,240,2,60.1,,,,
18,360,2,77.38,,,,
19,44660,2,通话时长数值越界,,,,
20,-1,3,通话时长数值越界,,,,
21,30,3,29.5,,,,
22,90,3,38.5,,,,
23,150,3,47.05,,,,
24,240,3,60.1,,,,
25,360,3,77.38,,,,
26,44660,3,通话时长数值越界,,,,
27,-1,6,通话时长数值越界,,,,
28,30,6,29.5,,,,
29,90,6,38.5,,,,
30,150,6,47.5,,,,
31,240,6,61,,,,
32,360,6,77.38,,,,
33,44660,6,通话时长数值越界,,,,
34,-1,11,通话时长数值越界,,,,
35,30,11,29.5,,,,
36,90,11,38.5,,,,
37,150,11,47.5,,,,
38,240,11,61,,,,
39,360,11,79,,,,
40,44660,11,通话时长数值越界,,,,
41,30,12,未按时缴费次数越界,,,,
42,90,12,未按时缴费次数越界,,,,
43,150,12,未按时缴费次数越界,,,,
44,240,12,未按时缴费次数越界,,,,
45,360,12,未按时缴费次数越界,,,,
