TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,10,10,20,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/5/13 18:41:06,RQD、fuyang
2,10,10,10,该三角形是等边三角形,该三角形是等边三角形,TRUE,2022/5/13 18:41:06,RQD、fuyang
3,10,10,15,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/5/13 18:41:06,RQD、fuyang
4,10,15,20,该三角形是普通三角形,该三角形是普通三角形,TRUE,2022/5/13 18:41:06,RQD、fuyang
5,-1,10,20,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
6,201,10,10,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
7,10,-1,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
8,10,201,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
9,10,10,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
10,10,15,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
11,-1,10,20,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
12,201,10,10,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
13,10,-1,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
14,10,201,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
15,10,10,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
16,10,15,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
17,-1,-1,20,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
18,201,201,10,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
19,10,-1,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
20,10,201,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
21,-1,10,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
22,201,15,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
23,-1,201,20,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
24,201,-1,10,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
25,10,-1,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
26,10,201,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
27,201,10,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
28,-1,15,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
29,-1,-1,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
30,-1,-1,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
31,-1,201,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
32,-1,201,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
33,201,-1,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
34,201,-1,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
35,201,201,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
36,201,201,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:41:06,RQD、fuyang
