TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,10,10,20,所给三边数据不能构成三角形,,,,
2,10,10,10,该三角形是等边三角形,,,,
3,10,10,15,该三角形是等腰三角形,,,,
4,10,15,20,该三角形是普通三角形,,,,
5,-1,10,20,边长数值越界,,,,
6,201,10,10,边长数值越界,,,,
7,10,-1,15,边长数值越界,,,,
8,10,201,15,边长数值越界,,,,
9,10,10,-1,边长数值越界,,,,
10,10,15,201,边长数值越界,,,,
11,-1,10,20,边长数值越界,,,,
12,201,10,10,边长数值越界,,,,
13,10,-1,15,边长数值越界,,,,
14,10,201,15,边长数值越界,,,,
15,10,10,-1,边长数值越界,,,,
16,10,15,201,边长数值越界,,,,
17,-1,-1,20,边长数值越界,,,,
18,201,201,10,边长数值越界,,,,
19,10,-1,-1,边长数值越界,,,,
20,10,201,201,边长数值越界,,,,
21,-1,10,-1,边长数值越界,,,,
22,201,15,201,边长数值越界,,,,
23,-1,201,20,边长数值越界,,,,
24,201,-1,10,边长数值越界,,,,
25,10,-1,201,边长数值越界,,,,
26,10,201,-1,边长数值越界,,,,
27,201,10,-1,边长数值越界,,,,
28,-1,15,201,边长数值越界,,,,
29,-1,-1,-1,边长数值越界,,,,
30,-1,-1,201,边长数值越界,,,,
31,-1,201,-1,边长数值越界,,,,
32,-1,201,201,边长数值越界,,,,
33,201,-1,-1,边长数值越界,,,,
34,201,-1,201,边长数值越界,,,,
35,201,201,-1,边长数值越界,,,,
36,201,201,201,边长数值越界,,,,
