TestCaseID,Edge1,Edge2,Edge3,ExpectedOutput,ActualOutput,Correctness,Time,TesterName
1,10,10,20,所给三边数据不能构成三角形,所给三边数据不能构成三角形,TRUE,2022/5/13 18:38:56,RQD、fuyang
2,10,10,10,该三角形是等边三角形,该三角形是等边三角形,TRUE,2022/5/13 18:38:56,RQD、fuyang
3,10,10,15,该三角形是等腰三角形,该三角形是等腰三角形,TRUE,2022/5/13 18:38:56,RQD、fuyang
4,10,15,20,该三角形是普通三角形,该三角形是普通三角形,TRUE,2022/5/13 18:38:56,RQD、fuyang
5,-1,10,20,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
6,201,10,10,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
7,10,-1,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
8,10,201,15,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
9,10,10,-1,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
10,10,15,201,边长数值越界,边长数值越界,TRUE,2022/5/13 18:38:56,RQD、fuyang
