no,type,userID,column,expected_result
li_1,member,123,null,普通用户账号应长7位
li_2,member,1234,null,普通用户账号应长7位
li_3,member,12345,null,普通用户账号应长7位
li_4,member,1234567,null,请输入密码
li_5,member,12345678,null,普通用户账号应长7位
li_6,member,null,null,请输入账号
li_7,member,123,qwe,普通用户账号应长7位
li_8,member,1234,qwe,普通用户账号应长7位
li_9,member,12345,qwe,普通用户账号应长7位
li_10,member,1234567,qwe,true
li_11,member,12345678,qwe,普通用户账号应长7位
li_12,admin,123,null,管理员账号应长4位
li_13,admin,1234,null,请输入密码
li_14,admin,12345,null,管理员账号应长4位
li_15,admin,1234567,null,管理员账号应长4位
li_16,admin,12345678,null,管理员账号应长4位
li_17,admin,null,null,请输入账号
li_18,admin,123,qwe,管理员账号应长4位
li_19,admin,1234,qwe,true
li_20,admin,12345,qwe,管理员账号应长4位
li_21,admin,1234567,qwe,管理员账号应长4位
li_22,admin,12345678,qwe,管理员账号应长4位
